                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                 1.1489,                0.95841,                0.86425,                0.58121,                0.49561,                0.54698,                0.35716,                 1.1793,                 1.3517,                0.88007,              0.0029571,              0.0029571,              0.0029571
                    144,                 1.1464,                0.95175,                0.86095,                0.60664,                0.49018,                0.55742,                 0.3769,                 1.1506,                 1.2579,                0.87751,              0.0029071,              0.0029071,              0.0029071
                    145,                 1.1467,                0.93137,                0.86733,                0.66528,                 0.4713,                0.56315,                0.38463,                 1.1477,                 1.2461,                0.87884,              0.0028572,              0.0028572,              0.0028572
                    146,                 1.1499,                0.93537,                0.86348,                0.56098,                0.52942,                0.55771,                0.38087,                 1.1512,                 1.2585,                0.87879,              0.0028072,              0.0028072,              0.0028072
                    147,                 1.1258,                0.93182,                0.86918,                0.58851,                0.50878,                 0.5524,                0.37168,                 1.1616,                 1.2519,                0.87875,              0.0027573,              0.0027573,              0.0027573
                    148,                  1.148,                 0.9317,                0.86743,                0.56594,                0.49346,                0.53722,                 0.3677,                 1.1601,                 1.2968,                 0.8767,              0.0027073,              0.0027073,              0.0027073
                    149,                 1.1402,                0.92378,                0.86514,                0.57879,                0.52466,                0.56322,                0.38638,                 1.1543,                 1.2363,                0.87481,              0.0026574,              0.0026574,              0.0026574
                    150,                 1.1311,                0.92967,                0.86614,                0.56462,                0.51412,                0.55738,                 0.3848,                 1.1363,                 1.2447,                 0.8731,              0.0026074,              0.0026074,              0.0026074
                    151,                 1.1186,                0.91288,                0.86785,                0.58442,                0.50953,                0.56184,                0.38338,                 1.1429,                 1.2313,                0.87673,              0.0025575,              0.0025575,              0.0025575
                    152,                 1.1164,                0.88551,                0.86112,                0.61829,                0.52106,                0.57842,                0.39209,                 1.1544,                 1.2356,                0.87637,              0.0025075,              0.0025075,              0.0025075
                    153,                 1.1283,                0.91628,                0.86631,                0.62305,                0.48984,                0.56303,                0.37688,                 1.1621,                 1.2295,                0.87881,              0.0024576,              0.0024576,              0.0024576
